date,temperature_2m_mean
1974-05-07 00:00:00+00:00,43.901447
1974-05-08 00:00:00+00:00,48.0902
1974-05-09 00:00:00+00:00,49.9577
1974-05-10 00:00:00+00:00,49.901455
1974-05-11 00:00:00+00:00,54.487698
1974-05-12 00:00:00+00:00,55.713947
1974-05-13 00:00:00+00:00,59.03269
1974-05-14 00:00:00+00:00,54.633953
1974-05-15 00:00:00+00:00,54.2552
1974-05-16 00:00:00+00:00,51.870193
1974-05-17 00:00:00+00:00,55.072693
1974-05-18 00:00:00+00:00,58.383953
1974-05-19 00:00:00+00:00,61.027706
1974-05-20 00:00:00+00:00,60.45019
1974-05-21 00:00:00+00:00,56.568943
1974-05-22 00:00:00+00:00,53.553944
1974-05-23 00:00:00+00:00,50.2727
1974-05-24 00:00:00+00:00,51.65645
1974-05-25 00:00:00+00:00,52.702698
1974-05-26 00:00:00+00:00,54.06395
1974-05-27 00:00:00+00:00,56.081448
1974-05-28 00:00:00+00:00,59.38145
1974-05-29 00:00:00+00:00,55.147705
1974-05-30 00:00:00+00:00,50.89145
1974-05-31 00:00:00+00:00,53.05145
1974-06-01 00:00:00+00:00,54.292694
1974-06-02 00:00:00+00:00,57.66395
1974-06-03 00:00:00+00:00,60.07895
1974-06-04 00:00:00+00:00,53.516453
1974-06-05 00:00:00+00:00,55.69144
1974-06-06 00:00:00+00:00,58.308945
1974-06-07 00:00:00+00:00,53.685196
1974-06-08 00:00:00+00:00,53.35895
1974-06-09 00:00:00+00:00,50.148952
1974-06-10 00:00:00+00:00,53.00645
1974-06-11 00:00:00+00:00,53.208942
1974-06-12 00:00:00+00:00,53.812702
1974-06-13 00:00:00+00:00,61.8827
1974-06-14 00:00:00+00:00,64.3427
1974-06-15 00:00:00+00:00,61.638947
1974-06-16 00:00:00+00:00,61.792706
1974-06-17 00:00:00+00:00,64.07269
1974-06-18 00:00:00+00:00,61.391445
1974-06-19 00:00:00+00:00,59.35895
1974-06-20 00:00:00+00:00,58.5077
1974-06-21 00:00:00+00:00,59.182697
1974-06-22 00:00:00+00:00,60.47644
1974-06-23 00:00:00+00:00,58.983948
1974-06-24 00:00:00+00:00,59.7677
1974-06-25 00:00:00+00:00,64.29395
1974-06-26 00:00:00+00:00,67.2752
1974-06-27 00:00:00+00:00,64.61269
1974-06-28 00:00:00+00:00,59.8652
1974-06-29 00:00:00+00:00,60.510197
1974-06-30 00:00:00+00:00,62.6252
1974-07-01 00:00:00+00:00,60.761448
1974-07-02 00:00:00+00:00,61.297695
1974-07-03 00:00:00+00:00,62.09645
1974-07-04 00:00:00+00:00,58.83395
1974-07-05 00:00:00+00:00,58.368946
1974-07-06 00:00:00+00:00,61.215195
1974-07-07 00:00:00+00:00,57.116444
1974-07-08 00:00:00+00:00,58.20019
1974-07-09 00:00:00+00:00,59.137695
1974-07-10 00:00:00+00:00,61.02394
1974-07-11 00:00:00+00:00,60.030193
1974-07-12 00:00:00+00:00,59.962704
1974-07-13 00:00:00+00:00,62.302704
1974-07-14 00:00:00+00:00,64.44019
1974-07-15 00:00:00+00:00,61.815205
1974-07-16 00:00:00+00:00,66.288956
1974-07-17 00:00:00+00:00,64.99145
1974-07-18 00:00:00+00:00,60.240204
1974-07-19 00:00:00+00:00,58.380207
1974-07-20 00:00:00+00:00,57.063953
1974-07-21 00:00:00+00:00,59.80895
1974-07-22 00:00:00+00:00,63.187702
1974-07-23 00:00:00+00:00,64.96146
1974-07-24 00:00:00+00:00,61.271454
1974-07-25 00:00:00+00:00,57.240204
1974-07-26 00:00:00+00:00,58.451447
1974-07-27 00:00:00+00:00,61.5902
1974-07-28 00:00:00+00:00,62.936447
1974-07-29 00:00:00+00:00,63.870193
1974-07-30 00:00:00+00:00,61.86395
1974-07-31 00:00:00+00:00,61.0652
1974-08-01 00:00:00+00:00,67.39144
1974-08-02 00:00:00+00:00,65.29895
1974-08-03 00:00:00+00:00,65.18646
1974-08-04 00:00:00+00:00,69.168945
1974-08-05 00:00:00+00:00,64.3502
1974-08-06 00:00:00+00:00,61.023952
1974-08-07 00:00:00+00:00,61.48895
1974-08-08 00:00:00+00:00,63.58145
1974-08-09 00:00:00+00:00,61.725204
1974-08-10 00:00:00+00:00,59.2877
1974-08-11 00:00:00+00:00,58.365192
1974-08-12 00:00:00+00:00,59.718952
1974-08-13 00:00:00+00:00,63.300205
1974-08-14 00:00:00+00:00,69.41645
1974-08-15 00:00:00+00:00,74.4452
1974-08-16 00:00:00+00:00,76.45895
1974-08-17 00:00:00+00:00,73.683945
1974-08-18 00:00:00+00:00,64.64271
1974-08-19 00:00:00+00:00,61.901447
1974-08-20 00:00:00+00:00,57.75395
1974-08-21 00:00:00+00:00,61.47769
1974-08-22 00:00:00+00:00,62.78645
1974-08-23 00:00:00+00:00,63.712696
1974-08-24 00:00:00+00:00,64.256454
1974-08-25 00:00:00+00:00,65.4002
1974-08-26 00:00:00+00:00,66.99394
1974-08-27 00:00:00+00:00,62.463947
